OrderID,UserID,BusinessID,Address,amount,OrderDate
0C226iZpIHrT,00000007,00000009,湖北省大锅盖市                                                                                      ,4,2021-12-30
0DyxfRmhRh8q,00000004,00000004,street                                                                                              ,19,2021-12-16
0FIJEHYsWVHk,00000006,00000007,广西省水帘洞大的菠萝                                                                                ,34,2021-12-30
10RL75AVcMQX,00000003,00000008,湖北省品园市一楼                                                                                    ,15,2021-12-29
13obmGMcCBGv,00000004,00000010,99road                                                                                              ,18,2021-12-16
16G4TyIBhq2I,00000004,00000001,street                                                                                              ,36,2021-12-16
1BEpXop34vKw,00000004,00000001,                                                                                                    ,36,2021-12-27
1FyPR0TOQBwn,00000007,00000011,                                                                                                    ,22,2021-12-30
2ePrdZLGRMNH,00000001,00000001,吉林省橘子屯                                                                                        ,494,2021-12-29
2ihMCPj50ZHa,00000001,00000001,street                                                                                              ,18,2021-12-16
2KFou5dRji6o,00000001,00000001,吉林省橘子屯                                                                                        ,36,2021-12-29
3ZMMnkjjbVbL,00000004,00000004,湖北省大冰川                                                                                        ,38,2021-12-29
4hhcu2pbvSlm,00000001,00000002,street                                                                                              ,38,
4MQptthMKciM,00000001,00000001,street                                                                                              ,18,2021-12-16
7FsleeTM6IiT,00000002,00000003,大不列颠及北爱尔兰联合王国爱丁堡                                                                    ,102,2021-12-29
8c4gcTKSG6XU,00000003,00000010,湖北省品园市一楼                                                                                    ,20,2021-12-29
8Gli1W2OzTpL,00000003,00000005,湖北省品园市一楼                                                                                    ,43,2021-12-29
8KDu8Fj3I7cp,00000004,00000002,street                                                                                              ,20,2021-12-16
8KPTFZOnyVSB,00000002,00000001,品六                                                                                                ,36,2021-12-27
8oSU9JIyAvnF,00000004,00000001,                                                                                                    ,18,2021-12-16
8ryJGhpo9TZy,00000004,00000001,street                                                                                              ,36,2021-12-16
9BUkDEQcedAA,00000004,00000010,                                                                                                    ,38,2021-12-16
a7hQdgqZxsxC,00000004,00000001,                                                                                                    ,54,2021-12-16
aAeJZtYjJ2wy,00000001,00000002,street                                                                                              ,38,
aGRojVdhACes,00000001,00000002,street                                                                                              ,38,2021-12-16
aPqkaIIEv05t,00000001,00000002,street                                                                                              ,38,2021-12-16
b4TfY5hL1IMT,00000003,00000006,湖北省品园市一楼                                                                                    ,15,2021-12-29
bgukuT2ziFUh,00000001,00000002,吉林省橘子屯                                                                                        ,12,2021-12-29
bi3zZpDJAeQW,00000006,00000008,广西省水帘洞大的菠萝                                                                                ,14,2021-12-30
BY4ihXn0mxzs,00000007,00000013,                                                                                                    ,51,2021-12-30
C6CY7t3QDGNf,00000001,00000001,                                                                                                    ,54,2021-12-27
caiA1XalM4N9,00000004,00000009,中关村大街59号                                                                                      ,4,2021-12-30
CIsTAM5qUGDA,00000001,00000002,street                                                                                              ,38,
CLpuJrGH7Ha7,00000003,00000002,湖北省品园市一楼                                                                                    ,180,2021-12-29
co1FuLnG0ttY,00000002,00000004,大不列颠及北爱尔兰联合王国爱丁堡                                                                    ,17,2021-12-29
d0EdUgVHmUnr,00000003,00000007,湖北省品园市一楼                                                                                    ,34,2021-12-29
D3c1I6rNCD0l,00000001,00000002,                                                                                                    ,152,2021-12-27
DA2hA2cwvOmA,00000006,00000007,广西省水帘洞大的菠萝                                                                                ,37,2021-12-30
DfxNWjY6g2kO,00000001,00000002,street                                                                                              ,38,2021-12-16
dJGEn4Mx8A7K,00000004,00000010,人民大学5959                                                                                        ,60,2021-12-16
dJoEffYFLbB0,00000001,00000003,吉林省橘子屯                                                                                        ,522,2021-12-29
do8MArNQnOC5,00000002,00000005,大不列颠及北爱尔兰联合王国爱丁堡                                                                    ,3,2021-12-29
dwLbBey75ijX,00000001,00000001,吉林省橘子屯                                                                                        ,180,2021-12-29
dzrCmuJ0BBwj,00000003,00000010,                                                                                                    ,100,2021-12-29
eeqooykxo3DA,00000004,00000004,street                                                                                              ,38,2021-12-16
efKA7e3Gk8YS,00000004,00000004,street                                                                                              ,19,2021-12-16
eFyGV5Wg7aqf,00000004,00000004,room9                                                                                               ,38,2021-12-16
eomqZMA0jpim,00000001,00000002,street                                                                                              ,38,2021-12-16
ERP4pZXEOkj4,00000007,00000004,湖北省大锅盖市                                                                                      ,19,2021-12-30
f50DwZXqCek4,00000004,00000004,beijing                                                                                             ,112,2021-12-16
fAn8jH2LY8Gg,00000006,00000004,广西省水帘洞大的菠萝                                                                                ,245,2021-12-30
frDkGq2W0sZ0,00000002,00000001,大不列颠及北爱尔兰联合王国爱丁堡                                                                    ,126,2021-12-29
fuRbrX0qo2qr,00000001,00000001,street                                                                                              ,18,2021-12-16
fyQDFJXDxsVX,00000001,00000002,street                                                                                              ,38,2021-12-16
G8ZmzBmKcvc5,00000003,00000006,湖北省品园市一楼                                                                                    ,5,2021-12-29
GdPMmzWC5JOl,00000004,00000004,street                                                                                              ,38,2021-12-16
gMkRZT4mxzxx,00000001,00000001,street                                                                                              ,18,
Gpiagd0mmRbf,00000002,00000002,大不列颠及北爱尔兰联合王国爱丁堡                                                                    ,64,2021-12-29
GqFXJgosTBX4,00000004,00000007,湖北省大冰川                                                                                        ,32,2021-12-29
GTQx4VVOZugU,00000004,00000003,stt                                                                                                 ,51,2021-12-16
gXq2WPOvhxMq,00000007,00000011,湖北省大锅盖市                                                                                      ,12,2021-12-30
gYChKeigKhiC,00000004,00000003,                                                                                                    ,36,2021-12-29
I2xNdM6vqlEh,00000002,00000002,room9                                                                                               ,38,2021-12-16
IJDPfyk1EQrN,00000001,00000002,street                                                                                              ,38,2021-12-16
iLEsbJ564UjM,00000004,00000002,中关村大街                                                                                          ,27,2021-12-21
iNOCXD4sSJCR,00000004,00000004,湖北省大冰川                                                                                        ,38,2021-12-29
j0srqgmroSsO,00000004,00000004,stt                                                                                                 ,19,2021-12-16
jqcLzv7DpOka,00000002,00000005,大不列颠及北爱尔兰联合王国爱丁堡                                                                    ,10,2021-12-29
JuK9Wkj815Sr,00000004,00000014,三里屯                                                                                              ,2,2021-12-21
jZZhOoS33aOo,00000003,00000003,                                                                                                    ,17,2021-12-29
K5YvTvuPwYiH,00000001,00000001,street                                                                                              ,18,
K6suDQ5HnyRd,00000004,00000003,西四                                                                                                ,17,2021-12-19
KAnBqGGSRE46,00000007,00000008,湖北省大锅盖市                                                                                      ,13,2021-12-30
KHxtZIzzCZ4U,00000004,00000001,street                                                                                              ,36,2021-12-16
KKpYoMKpl5tF,00000004,00000010,人民大学                                                                                            ,60,2021-12-16
kLJIoyZvV1JZ,00000004,00000001,street                                                                                              ,36,2021-12-16
KsSaOvmaKddd,00000001,00000002,street                                                                                              ,38,2021-12-16
Kw60Rf8MF13H,00000002,00000007,大不列颠及北爱尔兰联合王国爱丁堡                                                                    ,16,2021-12-29
l6BrGKoGXB7W,00000002,00000001,t2航站楼                                                                                            ,108,2021-12-27
L7QglYmZuCFr,00000006,00000010,广西省水帘洞大的菠萝                                                                                ,19.9,2021-12-30
LBd57hs4OpXZ,00000002,00000009,大不列颠及北爱尔兰联合王国爱丁堡                                                                    ,15,2021-12-29
LOOqS1u3yian,00000004,00000010,                                                                                                    ,17,2021-12-29
LpTlEvSB4Lgi,00000004,00000002,street                                                                                              ,20,2021-12-16
luG48zbL47KC,00000004,00000003,street                                                                                              ,51,2021-12-16
