UserID,UserName,gender,birthday,tel,UserPwd,province
        ,曦曦丛,f,20001013,13617829819,12345,外太空
00000001,老林,f,20010101,12121212121,asdf,广西省
00000002,悉哥,f,20010201,23232323232,srdtdv,吉林省
00000003,老谢,m,20010301,34343434343,dfgb,台湾省
00000004,河豚,m,20010401,45454545454,tgr,湖北省
00000005,老高,m,20010501,56565656565,j6ut,吉林省
00000006,海绵宝宝,m,20010601,67676767676,etfe,湖北省
00000007,派大星,m,20010701,78787878787,5gbgr,广西省
00000008,章鱼哥,m,20010801,89898989898,thrtuk,辽宁省
00000009,珊迪,f,20010901,90909090909,56uhy,吉林省
00000010,泡芙老师,f,20011001,14141414141,b\sdfg,上海市
00000011,小蜗,m,20011101,25252525252,"56,.l",辽宁省
00000012,珍珍,f,20011201,36363636363,"ghm,iy",四川省
00000013,飞天魔鬼,m,19990101,47474747474,yui;I;,新疆省
00000014,水母,m,19990201,58585858585,"ret6k,l",江苏省
00000015,美人鱼战士,m,19990301,69696969696,saer,江苏省
00000016,企鹅男孩,m,19990401,70707070707,FHDdgf,福建省
00000017,泡泡人,m,19990501,18956789500,t7-[=,江西省
00000018,铲子杀人魔,m,19990601,17709454395,gk.dh,山西省
00000019,射线恶魔,m,19990701,19834500347,fg7o=e,陕西省
00000020,海绵奶奶,f,19990801,17937485386,45jsdvrt,湖北省
0IWLXOMJ,王老师,m,19800601,07735201111,wpw1314lzy,湖南省
6EXVMV21,西西,f,20010909,39         ,383838,
A51WSS44,曦曦从梦中醒来,f,20001012,13718929182,12345,外太空
N6JOSMRX,一台美丽的电脑,f,19880123,093829108  ,01,广州省
PF8OSY1L,林林从梦中醒来,f,20010201,1389290928 ,1010,外太空
QE9OMNNY,依依从梦中醒来,f,20010201,13827899891,109090,外太空
